candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber
126,Dinas Pendidikan Kota Bandung,C_Kantor,5391666898,46.032264775557664,107.6289609,-6.915882700000004,5391666898,46.032264775557664
127,Dinas Perkebunan Jawa Barat,C_Kantor,32524370,46.1003121703128,107.621803680275,-6.898844264388947,32524370,46.1003121703128
128,Kantor Kecamatan Lengkong,C_Kantor,2607816746,46.33382698438489,107.622761834704,-6.92834112005956,2607816746,46.33382698438489
129,Rumah Sakit Ibu Anak Limijati,E_RumahSakit,2520649160,46.364414668437824,107.61362119849234,-6.90616144103778,2520649160,46.364414668437824
130,Rumah Sakit Kartini Bandung,E_RumahSakit,5474692069,47.1472417130055,107.6345985,-6.897237399999999,5474692069,47.1472417130055
131,Pertamina,A_SPBU,3847863679,47.28022966178815,107.5629203,-6.891755093000002,3847863679,47.28022966178815
132,Pertamina,A_SPBU,5460792486,48.04250089244274,107.655379,-6.956250934000008,5460792486,48.04250089244274
133,Kantor Kelurahan Dago,C_Kantor,5463827263,48.32577748105863,107.61596464571782,-6.879407320485664,5463827263,48.32577748105863
134,Pertamina,A_SPBU,1849960732,48.34259390395151,107.6370205,-6.9121984,1849960732,48.34259390395151
135,Kantor Kecamatan Bandung Wetan,C_Kantor,9767043233,48.386197005234806,107.6093903627539,-6.897220425430707,9767043233,48.386197005234806
136,Pos Ujungberung,C_Kantor,5354200760,48.501666300684114,107.694531,-6.913103,5354200760,48.501666300684114
137,Balubur Town Square,B_Mall,1658919945,49.18769092348324,107.6085199,-6.898757141999996,1658919945,49.18769092348324
138,Pertamina,A_SPBU,5394983543,49.33365614447218,107.6589018,-6.913648299999998,5394983543,49.33365614447218
139,Living Plaza,B_Mall,11138593909,49.89545357320765,107.5978357,-6.906023654999999,11138593909,49.89545357320765
140,Aryaduta Bandung,D_Hotel,5358106596,49.9726197674836,107.61183,-6.909371300000004,5358106596,49.9726197674836
141,PT Perusahaan Gas Negara Rayon Bandung,C_Kantor,5332863044,50.39155879724388,107.64015790000002,-6.919019331000001,5332863044,50.39155879726989
142,RSAU Dr Salamun,E_RumahSakit,319706490,50.889451738910495,107.6048127,-6.8643150999999945,319706490,50.889451738910495
143,Dinas Perindustrian dan Perdagangan Provinsi Jawa Barat,C_Kantor,1849525946,50.97765986053769,107.6144820261274,-6.922230643757093,1849525946,50.97765986053769
144,Kantor Wilayah Kementerian Hukum Dan HAM Jawa Barat,C_Kantor,5332863127,51.02417988647425,107.63823557994392,-6.914153781433017,5332863127,51.02417988647425
145,Pertamina,A_SPBU,4620173045,51.43543053988797,107.6734695,-6.904544400000008,4620173045,51.43543053988797
146,Pengadilan Tinggi Negeri Bandung,C_Kantor,5332863125,51.55708034145294,107.64078422932766,-6.914405931688927,5332863125,51.55708034145294
147,Kantor Pos Bandung (Asia Afrika),C_Kantor,3256092261,51.897622236073495,107.6062198,-6.920675732000008,3256092261,51.897622236073495
148,Sekretariat Daerah Jawa Barat,C_Kantor,10173705729,51.994155092809784,107.61739144581456,-6.902610797691014,10173705729,51.99415509280978
149,Bappeda Provinsi Jawa Barat,C_Kantor,5463827264,52.29106391249893,107.6163212695495,-6.878223992439956,5463827264,52.29106391249893
150,RSKB Halmahera Siaga,E_RumahSakit,2520649156,52.584524231746975,107.61570679862947,-6.906701246299,2520649156,52.58452423286319
151,Kantor Kelurahan Sukapura Bandung,C_Kantor,1667532271,52.65845198053002,107.6497992079158,-6.929289499601149,1667532271,52.65845198053002
152,Dinas Pendidikan Provinsi Jawa Barat,C_Kantor,4504608692,52.86231186261779,107.59992425023508,-6.904420392290202,4504608692,52.86231186261779
153,Dinas Kesehatan Kota Bandung,C_Kantor,10173705736,53.4961867813213,107.62584346538112,-6.901489193945583,10173705736,53.4961867813213
154,Dinas Tanaman Pangan dan Hortikultura Jawa Barat,C_Kantor,9750802207,55.6294609774259,107.62284012554063,-6.898885751918467,9750802207,55.6294609774259
155,Santosa Hospital,E_RumahSakit,13048394328,55.75925008046191,107.58643068299612,-6.952701144179641,13048394328,55.75925008046191
156,Rumah Sakit Humana Prima,E_RumahSakit,5406559043,56.159049734844345,107.66423657898436,-6.940879573410929,5406559043,56.159049734844345
157,RS Bhayangkara TK. II Sartika Asih Bandung,E_RumahSakit,5490552899,56.46386174915243,107.6126776464382,-6.956689817569175,5490552899,56.46386175051549
