addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,9753461929,38.55946579222931,,,,Sukarasa,Sukasari,13710,107.58288859174745,-6.8791622323081425
<NA>,1654067495,58.52696220824002,,,,Sukarasa,Sukasari,13710,107.58225996665844,-6.879332400900798
<NA>,1654067495,68.16149264797816,,,,Sukarasa,Sukasari,13710,107.58234275572269,-6.879185371003927
<NA>,9753461929,44.13794159339172,,,,Sukarasa,Sukasari,13710,107.58263846287447,-6.879282928219146
<NA>,9753461929,67.27746479459853,,,,Sukarasa,Sukasari,13710,107.58239614904367,-6.8793075080063115
<NA>,1654067495,43.800166495152524,,,,Sukarasa,Sukasari,13710,107.58194148886508,-6.878941655051405
<NA>,1654067495,35.43666977945268,,,,Sukarasa,Sukasari,13710,107.5817856919025,-6.878962538861274
<NA>,1654067495,23.26988333041529,,,,Sukarasa,Sukasari,13710,107.58191033568794,-6.879164536025639
<NA>,1654067495,10.330464493883493,,,,Sukarasa,Sukasari,13710,107.58173861034945,-6.879185284432283
<NA>,1654067495,63.31612725747097,,,,Sukarasa,Sukasari,13710,107.58200345594977,-6.878773917614534
<NA>,1654067495,53.39122492911096,,,,Sukarasa,Sukasari,13710,107.58197054074532,-6.878858170118702
<NA>,1654067495,60.02764637860786,,,,Sukarasa,Sukasari,13710,107.58187770795575,-6.878755531393151
<NA>,1654067512,15.574699888051473,,,,Sarijadi,Sukasari,27619,107.58149647304401,-6.879329565980438
<NA>,1654067512,29.24186988538018,,,,Sarijadi,Sukasari,27619,107.58143865062232,-6.879464138343993
<NA>,1654067512,23.429003569133915,,,,Sarijadi,Sukasari,27619,107.58130183309946,-6.879358923980907
<NA>,5458423406,37.567929907064006,,,,Sukarasa,Sukasari,13710,107.58146918597222,-6.878718323544285
<NA>,1654067512,28.447870234111022,,,,Sukarasa,Sukasari,13710,107.58136495687731,-6.878954526704285
<NA>,5458423406,23.640698845318077,,,,Sarijadi,Sukasari,27619,107.58099896302107,-6.878861883446836
<NA>,5458423406,37.96707428364977,,,,Sarijadi,Sukasari,27619,107.58081517563599,-6.878829320521899
<NA>,5458423406,54.43533671262829,,,,Sarijadi,Sukasari,27619,107.58064882352731,-6.878795164360624
<NA>,5458423414,64.9790788968319,,,,Sarijadi,Sukasari,27619,107.58053144092493,-6.878748511720465
<NA>,5149616893,81.12165759450404,,,,Sekeloa,Coblong,27466,107.61710437463714,-6.886647461271414
<NA>,5149616893,12.190325185554842,,,,Sekeloa,Coblong,27466,107.61726190000019,-6.886014999999997
<NA>,5465992835,39.68935328459299,,,,Sekeloa,Coblong,27466,107.61755377227838,-6.886037251613139
<NA>,5149616893,46.456618182527436,,,,Sekeloa,Coblong,27466,107.6175598499998,-6.886144449999023
